id,totalMinedBlocks,totalRewards
qzjckpfCNf78VKLTdBAi4qmLXVdq7wR4i8cFgJikAYHvLHDe7,4429,42246809732487036
qzmRgTnJ6XNFCKheSrnzKiaW34ubPENCX7MqSreQKgTsZkEBQ,4427,42771815440449404
qzp2iCiP2eiMrT3evvYRSBUNX1hh7rbwUokchqDg69kzjgPBy,4399,42811133568302695
qzq7P4bPaptUpY3F6YC1RvWFS7Ee7MfGmzoi2yaSYWqWahZUR,4303,41412372639408065
qzkqpVQfNPJdtLy11Lipq7S4FweRWfhCMrfVUohDgaKifUQAZ,4234,41071541456981202
qzo92RobTAxfxz6fFNQZ3qqRCkkHt28oJiHMgz2bHyMHBE78S,4220,40074646282425689
qzmZzKgzPHZFpJ4pT3NW68rN4rD6xj9GdaTMHVkDywwdgdb1M,4197,40201969994025342
qzoTppcZM2nZg2qBNhXCe2KbiGiCFXpXFyMkzu8qy9qDRuNhx,4193,39495273648443330
qzodyHDA4JPnTVCYp9CPczHLTyvV2cg5wwSDzgNnedkehaAaG,4122,38963682983914714
qzmoeZ7nMVib4WPmktLCsAN4kNNCEdgWynK2Du5XUWXA4QZ94,4065,39641151256865707
qzmxL7QnoRc7U13dYhYxGHajNCW5rci9QsBhEckVSc7Jm1XU5,3758,36360491905745898
qznjwpAM7oy51RwwRMMagrvyy5zHEbpEiDu27akw4STmA1zbN,3610,30461048668312126
qzpXyYw3WYhQW4WHY6xUrWWA3K29jd8khQdhAre2AWBkZWyAW,3578,35014768260886376
qznNa4SgboRRYChe3rUKJgFu9vyrBsWa62X7KrWwgAnJLVLmN,3524,34151148782115254
qzkvYuYFPgJMwve9RSgLeEC3qKpQ81Mn1BiHWuX1k2yaAUzoq,3509,33203350941365067
qzmswvR98p3fLfTnCUqXR5rMex9Pn8xVjjyFLSYCLtrs6dUwP,3508,34810219331356350
qzp4abhZ4xh7MYXvDu5zFUg9wjG8Lcd1MSzyDYChVFok91xxV,3491,33985748336814460
qzpZBpnnQXRgTE6DvpbMHm8etUi1Bxxdy9VmW5GuvqzEEWTMC,3481,33331615906591776
qzjfz5bEM1ty3LcXoh1SfHgPWHbpx1n7SZ6ykEDd4e9wfw7XK,3466,33471315206607005
qzodyzosc3Kow9GV3oqXivj8Q8LQ7dM9T5wnDp5sFcjXQR1HX,3434,33920458931731537
qzpKJ8wBLVE2JkCwqQpWARN9GbQ4yptDTinfMkdE9QzqK7BRz,3372,32840953652037090
qzkRCmmoQbVqvGEQshYi6FUYdwxVJ5ES65Dss7NJWuR65YrJV,3315,31899693537583341
qzp3TrxcsLLK3r7ymgwDcuksk8KkZXjYw7mUphv7kL67ZqYDN,3239,31680772057168921
qzmyMvHGK9xvbWTaFaV7nCuHAaKXEWWx2oy2qPpK8t35G2GmV,3147,30321415152458077
qzqBeoPMd275pnrNAeQhmhyu5QJ8SeYNAVA5xZTEdGFTWBAxR,3039,29800381117463770
qznbC2n3nbKidee6ekWJQjfoUWbDvmrK81rWf8djuuJfQABd6,2972,28081807666663952
qznWLG11DULsQFjo1bvH57RpambhRcS6tFG6DspX4GkvWH8y2,2860,26932188132458687
qzoAgZv6Qa9LK6sRA2FL6gdRdgcnkSW1MjFq4sUrmQssmrCvn,2848,27051978135348738
qznBrw539t2GXwuoN6hqniNy378Uhoxod1dn247B1bu3qSMwL,2841,26792113520655213
qzjjSUA6ByxufGRHm5hKSoaz9gGdhBZkVB6QF57nHvQhXfQVS,2759,26641615061893618
qzjd3JcWomUPHNLZ3wev3u1qdaJWFngpq8q1uz7tYv2Rvk2MJ,2723,26051277636445066
qzpBwzzKoLUJLC4DRN3yFu3yChg973ZXzG3BGdD8RQUhgXqiU,2699,25964089620364110
qzkHXEf1jYEceSyQYEcx5AsPpeySzME791wW6w3SXhwDFooSZ,2696,26051289713026166
qzkXpTw5oLkeBwn9SzUbu3jug6VJ5oD4QeRaoqet98eJxPxVi,2616,25510514787518838
qzocUbGTXDMWojfxpXiqcxG1JHqBkbKaSAXAzfUAdKaHuCHK6,2598,25550358639023290
qzk8e8TrLh4pZHYBad76BWcZxDmhDgvH8EHsFskCiE56HGQ4n,2505,23991178176824570
qzobD8H4SacS1ueFA5h1TvupB9MbArDjk4q1ENtWn34y1s5rm,2467,23721047578651324
qznXCP2sU8gcKa74XTD1UsiqW8UWBoAH18KH8p5w1sUPD57G4,2388,22861110680133561
qzoUyJBrQvAEL3yFpmDEJA4jLyYpMGrNjX28qmZ7Cvmt9TqjT,2231,21750592114703536
qzknsLGszSZUa5NnkLzymGm6u4iQ9DDQbBUYuVgLixEwzB9g5,2180,21190694717415536
qzmZ7Gpbtu2z4J55AnjqKZCfNfbuoWUmGCANsrRPZgFgb21Ya,2150,20401167527513357
qznGci976xEyHroGWm6fCAEm9AUEq38AMDu8zYohcxmU2QUsS,2109,20360812057168958
qzo7pUCHfcEhxUuxuafcixv7WU8WvBAMRjR1uCfhym4DHFe6Q,1981,18950975342282526
qzkFwmNAVrRKsZ7277jVfUDH4SLy8c88u4pmggc7Wwn2jdsRw,1793,17400579870994061
qzk3KyUyvVHXv4K26j2ePTZhr8qgRYqpL5RasN5xELYutRrys,1790,17050909150659816
qzjeLJHgufAz3UvAAkN7mtqgesUdwSP4sBdBJYfuFa2wu4Y9j,1573,15220664050165143
