resonance_network,schrodinger,dirac,planck,totalMinedBlocks,totalRewards
,,qzktZGjX3ALJrEzFiSS8MvZNF3rgFyURLh9eGgFLgNNCWqwYU,,2,20000000000000
,,qzkRf4gKmSMXZ1a7K467Fya5XkSv5uhfdt5BoebZSnuRNVFmM,,2,20000000000000
,,qzkcPZa7MJHzCHPi8xUbsoM2aDmwmMmzQ7yHRvSoUhw4GoKaK,,2,20000000000000
,,,qzo1VJSvmRHa547Gamx4HoQT9JeBrgFRTUWghAZWfHqeky1Yq,2,774587559401
,,,qzjtdBwdhUVKtJVi2hatJ3H6XCuEmNxkYCKem5k8se64mz3mE,2,773921231960
,,,qzo87ZwuKz13ayPzDFQcdzpRK8gArkTWdG7dx3yKQgLxkC4kG,2,406428185932
,,,qznokNSfTTmbQFxdMgZAi18oZa4LAFg9p5ENdQqiQHb8Jzxvg,2,772181397149
,,,qzk7RfwAxPHAczVqzajyt7upzMLi5UJ85uqaC8eWch3dpQCN9,2,776941220348
,,,qzjpNsNa4ieb8x4i7CixThW6wZE981K9WeLkangcND2mbzJ9d,2,774358999565
,,,qzpEYGQmZ3t6Wovy6eXXiRBAXDvSry5vqGZWP7QhyDsMECNps,2,777182810244
qzmGYbF9Qm3yykU1MR3nXQDyhHaS8SnXwk8Fd2y8UkM2aWTbG,,,,1,10000000000000
qzjWXQK7tV1zVxW3XaKNsK5HdJUteLXZuGC2o3i2X3kVJ2zqJ,,,,1,10000000000000
qzpXEJTTtSvWMqKVLhfwVXW9qkXEftZBdzz92hf5QnxVvtqV1,,,,1,10000000000000
qzpjuAv3XbYjiW8Lw6RjxCFwkZzypr5TaMLvkQfuNVEigTAns,,,,1,10000000000000
,,qznTeZW9c9ted7HZikNuiM28czaRFJ1QXpSHg2ekxomqKqYwJ,,1,10000000000000
,,qzkSEr8NkswvTC8vdpKtdfquH9a1AGnLZhk1v7aK8rnwuhX1o,,1,10000000000000
,,qznv5u1NrSWddzWFbFoVFpyBkSwpY3XiQxQHUcT46ueGcdvSN,,1,10000000000000
,,qzneQjBF9FuaFEp54xzcasEx65koWny85Ks1HEEhwbwN9SPdu,,1,10000000000000
,,qznu5dm3S2yVJHTRxWpezNLa3jnDgYLLESrnxfZnAF7hi1DTm,,1,10000000000000
,,qzk366wmwXDNz1XJmcmgfWYd3ZsaTSWShzZdwZC7Er7LgmWih,,1,10000000000000
,,qzoayTaF13Y5aC61z5gugijhgiDpz65KxTzvLuyJcMeV5ySM4,,1,10000000000000
,,qzomkQ1h8eVx3kKSKnytHSWcavLaBmXKFZVxJAfQiCXXs29PU,,1,10000000000000
,,qzp6aPeDG9tMTMWAtougwZVcqd8k8ZDbVgzQegWE9Srzxqyqd,,1,10000000000000
,,qzkAV2SXEMJe9um2zH2E4KCf2oqiZjrBZHEpGBKMJ5QAqVboP,,1,10000000000000
,,,qzjpv7vUsyBD6qFu4qu8M4beoDdMf242Kqaobz2TJWK6KQSnv,1,383753772939
,,,qzkMjWpxw1zq3dABct4xCpJjJUdVidoUvpJXAfKaYQqt1ZHex,1,382423517727
,,,qzkSDCHg2H2neFHNijk6y83Nk7eufKALeu6eLgxp1knVyeb2h,1,381791103270
,,,qzp9Wa6EYVMv8fNY2BbegmGAJsP4N3wteqbUF8sgLqkRCSdtj,1,385610312846
,,,qznE1MGLKBzbHnnndbEQ6xSn3XkjMQzyRF6Rm5mrd5mhQN1hT,1,388460706369
,,,qzmB4sirTy9SbtjG61DvNY5yiW8px9XLHGxo6f9MSLiWyp913,1,388088152848
,,,qzkwZ8y7TXR8hw4dKsng9YqypR6buTfFtN6y7NRkDgyf6KujU,1,388105785401
,,,qzpZjBNMYfBMDTQSwP65S5L5q2ZfDZkJLvuH7P8chuN2Xx5X5,1,383686653293
,,,qzq2XqBesLK7NjPmqputmf7SRuYW7RPL6UCZZAHUYcZc7kbUy,1,388493035096
