resonance_network,schrodinger,dirac,planck,totalMinedBlocks,totalRewards
,,qzmReSdCef1efdr8cyoqiCqRKd16LGgyLm6do2Ssgv35YhZYm,,11446,112107212666775562
,,qznsgpVYgbmySquQpRWCNWwLotYLcVN4GNPECxfhfTmESjPeu,,11262,110331753175948322
,,,qzq3yzbR7iXgkAEWdANe7WkvCvHqZVsmTJVQ9qkWax28wKQ1d,10973,4166966593871356
,,qzoRj4BB9yZU592N39bVDaihtRTD3dGSVHuf5B7VB4ogTwDSG,,10944,105207181685294194
,,,qzpkSBJZ2seaisouXx5r9HnhMzFUNrx8FdLTQLcE27veKurTc,10821,4255608072981682
qzoye6zPEeJz8mxCar3Q1oiN2xpjFf47jvCVoMjjzuFTw9Dsp,,,,10404,102850177224240185
,,,qzoGZBgSuPqRLLHe5E3MWR2Az3bLXdiobDJN56KdMoF5tyKhc,10214,3985157815853676
,,,qzoqy3pcLsBcPpGFqj9BTv3UyvRB9o8ScnKqcQfSbQTR6odnu,9972,3827256458762906
,,qznuv4ayRPVmsQP1YAuSdRFyraHgk5JUV59GhokWY4tJNLpMX,,9865,95054578068557919
,,qzpxVNHtbHLCT4p8bCdMsoN59y1Nk5ohrTBJL2CqBMHahzz9T,,9788,94596196170288761
,,qzmjL8bskGfg99oyjz3EzaoZQGUdkuC1PQUFpbvkzHmsavaad,,9563,92154999132232896
,,qznnipanj2hXNrTfa6UUaPkQRX3mxtFkF1FKiNFokKgCTFQsv,,9463,93380768090314843
qzoQf4od1mzuTa5AT9R8cbEUxQkyEiqGJyKfq8ZWcK9fTLCmh,,,,9408,92970207760354631
,,qzn9vq9RmqLTke7rgWhSooFXCTF1c37xqqogQh2Skx8TAwkCn,,9408,92081578395152333
,,qzpR14A35zqXJvZwv7ELpjyiaKgeJ9VY3yU1618Z8TLwWJjzU,,9346,91771235531875804
,,,qzoh8Nvauqx6fHiFftu8UU3vJncL23sZY9sP9PjxX8NtbbU71,9098,3508256206841844
,qzjfz5bEM1ty3LcXoh1SfHgPWHbpx1n7SZ6ykEDd4e9wfw7XK,qzjfz5bEM1ty3LcXoh1SfHgPWHbpx1n7SZ6ykEDd4e9wfw7XK,,9087,89461539886113797
,,,qznf9mQwGAX7oqmyiNQ4cAm68d2S9Ayx8oV5dirMFPHFYgNPf,8968,3410993001476997
,,qzqDVTrpK1iB1r4fDmaDt17kReGere5S7QTJnw7e9d6avsfi1,,8967,85449540888775065
,,,qzneChhG2NKkVycgweCDuBvksh4mvwNn58ySTcD6GYBHW5yLZ,8943,3390740681253703
,,,qzk8ik4XDs99LechSUQ7X4UcsEn3x5G2K6HVAh12VGaeLKCaE,8839,3399258452975923
,,qzjuRcQLRnipu9foN527EmNYwgBrsKzDHLmpJY5dv7muU14qc,,8779,85867986050634249
,,qznYQKUeV5un22rXh7CCQB7Bsac74jynVDs2qbHk1hpPMjocB,,8688,86560315390157117
,,qzjV3hAsSpehwEH7ufz8CSS9nDjB5BqSirYhNTcZUzsHmZn7Y,,8455,80828703635798164
qznhpVShWsRqhp4g4KVnD82AGdwQo5EVZp9fqdmUAJBLSyCeW,,,,8412,83861031865799530
,,,qzkkAjRoQckvDiHHVod21JBK9VwAHDxqACD44PUyhqckGokaD,8194,3170547835662030
,,,qzphpYvryvfgPhykRHGA6dfNJggCyuWkLqrtbVG2fL7UMd2s3,8193,3470948060606317
qzn6C9EKUpuNPm5qbe5jSq7uiCHV7ruixuzNM4DQQQGZxe2du,,,,8035,79460614984327815
qzmNCqKCCLk51kY5dHkuMHrK89pdTLWspnxodoVX3ETMGaXUQ,qzpgbvDxercT56sd9UyBwiGwEqH2igJniJGC8Y9J3K9kBkta9,,,7477,74380115382556588
,,qzoVJ5Ptbw8udqmB2BdqWqUy2zKhbSPHqn4tjevabMBKWqVgH,,7431,72784207824336048
,,qznfAogbxPq6HBesBUgrehTAXPs7D4JMJ4ZKGGjq6pVsozCkY,,7222,69123453410918732
,qzmRRr2ZYMRJhP4BJtR5LeGt4atYGUjdq6pJ2YdwjLboTmhFn,,,6929,68760567420661953
,,,qzpo2n7PByDUB8MP5jyqVh5NqRdCPQ418xB1ywEKFcShD7bPu,6739,2575218293100102
,,qzm4THzkiamY4WAEWBRQvSHNnuF1646QHcLCWWfQkPx8G4spW,,6682,65121074851614352
,,qzjou3gFoc43pNcj7di1LRVBnbeRGtS3YHuzH3ansrxM7uNjJ,,6660,65161521749603682
,,,qzje34gHt9vcddjFSeRRpyo9zy3HVg7QjTUFvEkUzmxXRtfeo,6636,2539364163648904
,,qzp6hcZtKGMh7rAmkwis6TaumBB8Ejaf6E4MGbxeNTT84yGe4,,6597,62876962433532843
qzprTjCZMGh9P76yJBKWFv5QeAdJ1buqmMtsmCS3uTXpoopWS,,,,6312,62420183781914608
qzo8VqpTojHapSvjwdLqze3GebmfAGS4Nq6rTnRsjR2S8u9mA,,,,6296,62130144250658395
,,,qzpvavZmrYcDtpK4wuz4T9FE336FZoPbTVKAwS8SiLTH5JuuR,6279,2405442355367267
,,,qzk7HyC72tCngnsZa8eR5CfH9VombFG2xA7YBSKE1P5KD5Ui6,6230,2395045779194833
,,,qzn7QqFMK1Jrq932oEdqUgg1i5rgxh1tdJmnLrVYk2H9CfZGM,5915,2304120180809783
,,,qzptQjWMTh95vs4w8fp6Mp3nvBc6LNJLpdPNXGPi9xRbLWraX,5852,2209480703349384
,,,qzmBUdwKPZtkNMpUZTcuTdAgxzumJ3VBSrK2Z3jq3Wiv4fpNM,5704,2276383415528588
,,qzkstn8F4jNj43Q7xYHERVM2xJKNjqc4HEDfkstajAsNFGomM,,5666,53983018693563043
,,qzoF1k2refbU5jqLNJ63ETmEyUC6ddhcbmwbz8KQF5p7KjEn5,,5502,53102575513011054
,,qzmdSNDcuWexG7Cz19taf3XfT6fCRX12qDQU69vNzdDpRgjJv,,5477,52064819235084504
,,,qzkXsiDa8wssERPRv24gQ8NJSsWqrKy2YbpFJAfLPPAbS75ot,5453,2798885958822775
,,,qzntXFHNziRKXNRKDke7eugWHfGbsAdLY76MnpmPpq6GfnSsL,5426,2066253233713921
,qznJ4dHSXqWw112iqxU3F8ZLV7kvTB7myut9r2DKnYfnrggEA,qzmNaLjPU7hcvkjHpGmrVDPD9y12vdAFimCSrP1GkhVFJMaUq,,5322,52830406022762043
,,qzoKAaM69LJqXhBHB5pBroW2H8jRaFt7tu7rrLFGypMacpsiM,,5320,51422029488616233
,,qzmj2vv3dxRXvQQEBp5crY2AQe6DwbNQ7ww7m5p17BXv9sxV7,,5269,51091890226678413
,,qzm34PtyvSroN8Y1Ewn9rRWEPpXAn68TBaXEJMFpqSwxLn4wh,,5202,50022616150677636
,,qzpf27tsP8fBRRgGGyAnDc4qc4T6EBQ7FHE198E9BQhwBfXNG,,5182,50932671296014756
,,qzoXu7mBS3hVPuBSWpg5vMbAmqC21k6D6JZMTAgATJFwnmv4a,,5166,49961939134919863
,qzn2CBXmMorWepWR6DVtpjXE1KwH21nuuoyHUExJEBptQ3k5A,qzocUbGTXDMWojfxpXiqcxG1JHqBkbKaSAXAzfUAdKaHuCHK6,,5032,49790465311526380
qzotCmuA9SRD5aqWzYnFAeSE9N8FhhhgnKQG4mu4h66kc1YYm,qzotCmuA9SRD5aqWzYnFAeSE9N8FhhhgnKQG4mu4h66kc1YYm,,,4902,48830111947778160
,qzoAgZv6Qa9LK6sRA2FL6gdRdgcnkSW1MjFq4sUrmQssmrCvn,qzoAgZv6Qa9LK6sRA2FL6gdRdgcnkSW1MjFq4sUrmQssmrCvn,,4893,47412074140601517
,,qzq5jpZzkD1g6S8q8do8YXEH5kbLJxr5ZH8iLC1fRMH1cDCwr,,4711,46111080552863665
,,,qzkpjqTqAkt7khy1QF1xophcFRMvEvnoC2P3cTD13yXjTxnL4,4678,1796714591808863
